source_a,source_b,jaccard
authorisation_list,authorisation_list,1
authorisation_list,authorisation_process,0.47368421052631576
authorisation_list,candidate_list,0.21844660194174756
authorisation_list,clh_process,0.010178117048346057
authorisation_list,dossier_evaluation,0.00433996383363472
authorisation_list,ed_assessment,0
authorisation_list,eu_positive_list,0.00959023539668701
authorisation_list,harmonised_list,0.010400734169470786
authorisation_list,pbt_assessment,0.024875621890547265
authorisation_list,pesticides,9.041591320072332e-4
authorisation_list,pops_list,0.016129032258064516
authorisation_list,pops_process,0.020833333333333332
authorisation_list,reach_registrations,0.001902828872256755
authorisation_list,restriction_list,0
authorisation_list,restriction_process,0.01694915254237288
authorisation_list,sommatie_stoffen,0
authorisation_list,substance_evaluation,0.002688172043010753
authorisation_list,svhc_identification,0.20276497695852536
authorisation_process,authorisation_list,0.47368421052631576
authorisation_process,authorisation_process,1
authorisation_process,candidate_list,0.46116504854368934
authorisation_process,clh_process,0.030525030525030524
authorisation_process,dossier_evaluation,0.014716439339554917
authorisation_process,ed_assessment,0.02403846153846154
authorisation_process,eu_positive_list,0.023728813559322035
authorisation_process,harmonised_list,0.019768856447688565
authorisation_process,pbt_assessment,0.053497942386831275
authorisation_process,pesticides,0.003469210754553339
authorisation_process,pops_list,0.018018018018018018
authorisation_process,pops_process,0.01020408163265306
authorisation_process,reach_registrations,0.005010464895033932
authorisation_process,restriction_list,0.03278688524590164
authorisation_process,restriction_process,0.057692307692307696
authorisation_process,sommatie_stoffen,0.02097902097902098
authorisation_process,substance_evaluation,0.011961722488038277
authorisation_process,svhc_identification,0.43317972350230416
candidate_list,authorisation_list,0.21844660194174756
candidate_list,authorisation_process,0.46116504854368934
candidate_list,candidate_list,1
candidate_list,clh_process,0.050605060506050605
candidate_list,dossier_evaluation,0.023693379790940768
candidate_list,ed_assessment,0.04516129032258064
candidate_list,eu_positive_list,0.03288958496476116
candidate_list,harmonised_list,0.042745334136062615
candidate_list,pbt_assessment,0.08579881656804733
candidate_list,pesticides,0.006349206349206349
candidate_list,pops_list,0.009009009009009009
candidate_list,pops_process,0.004784688995215311
candidate_list,reach_registrations,0.010064565134827194
candidate_list,restriction_list,0.021551724137931036
candidate_list,restriction_process,0.03271028037383177
candidate_list,sommatie_stoffen,0.015810276679841896
candidate_list,substance_evaluation,0.04093567251461988
candidate_list,svhc_identification,0.9095022624434389
clh_process,authorisation_list,0.010178117048346057
clh_process,authorisation_process,0.030525030525030524
clh_process,candidate_list,0.050605060506050605
clh_process,clh_process,1
clh_process,dossier_evaluation,0.08206403481504507
clh_process,ed_assessment,0.07568238213399504
clh_process,eu_positive_list,0.08761682242990654
clh_process,harmonised_list,0.1481375358166189
clh_process,pbt_assessment,0.03409090909090909
clh_process,pesticides,0.21218206157965194
clh_process,pops_list,0
clh_process,pops_process,0
clh_process,reach_registrations,0.030091147459108503
clh_process,restriction_list,0.011673151750972763
clh_process,restriction_process,0.0079155672823219
clh_process,sommatie_stoffen,0.002506265664160401
clh_process,substance_evaluation,0.09562563580874874
clh_process,svhc_identification,0.05579868708971553
dossier_evaluation,authorisation_list,0.00433996383363472
dossier_evaluation,authorisation_process,0.014716439339554917
dossier_evaluation,candidate_list,0.023693379790940768
dossier_evaluation,clh_process,0.08206403481504507
dossier_evaluation,dossier_evaluation,1
dossier_evaluation,ed_assessment,0.0273972602739726
dossier_evaluation,eu_positive_list,0.17154174283973186
dossier_evaluation,harmonised_list,0.11152347374280942
dossier_evaluation,pbt_assessment,0.042522522522522525
dossier_evaluation,pesticides,0.022365939099973052
dossier_evaluation,pops_list,0
dossier_evaluation,pops_process,0
dossier_evaluation,reach_registrations,0.17322584740383395
dossier_evaluation,restriction_list,0.003997093023255814
dossier_evaluation,restriction_process,0.0029207740051113546
dossier_evaluation,sommatie_stoffen,0.001079136690647482
dossier_evaluation,substance_evaluation,0.10032362459546926
dossier_evaluation,svhc_identification,0.026462395543175487
ed_assessment,authorisation_list,0
ed_assessment,authorisation_process,0.02403846153846154
ed_assessment,candidate_list,0.04516129032258064
ed_assessment,clh_process,0.07568238213399504
ed_assessment,dossier_evaluation,0.0273972602739726
ed_assessment,ed_assessment,1
ed_assessment,eu_positive_list,0.034453781512605045
ed_assessment,harmonised_list,0.019015997585270148
ed_assessment,pbt_assessment,0.08560311284046693
ed_assessment,pesticides,0.022530329289428077
ed_assessment,pops_list,0
ed_assessment,pops_process,0
ed_assessment,reach_registrations,0.006596891849032668
ed_assessment,restriction_list,0.013605442176870748
ed_assessment,restriction_process,0.007575757575757576
ed_assessment,sommatie_stoffen,0
ed_assessment,substance_evaluation,0.18933333333333333
ed_assessment,svhc_identification,0.047021943573667714
eu_positive_list,authorisation_list,0.00959023539668701
eu_positive_list,authorisation_process,0.023728813559322035
eu_positive_list,candidate_list,0.03288958496476116
eu_positive_list,clh_process,0.08761682242990654
eu_positive_list,dossier_evaluation,0.17154174283973186
eu_positive_list,ed_assessment,0.034453781512605045
eu_positive_list,eu_positive_list,1
eu_positive_list,harmonised_list,0.07872655478775913
eu_positive_list,pbt_assessment,0.029079159935379646
eu_positive_list,pesticides,0.031294452347083924
eu_positive_list,pops_list,0
eu_positive_list,pops_process,0
eu_positive_list,reach_registrations,0.051568248425515995
eu_positive_list,restriction_list,0.01060070671378092
eu_positive_list,restriction_process,0.006244424620874219
eu_positive_list,sommatie_stoffen,8.598452278589854e-4
eu_positive_list,substance_evaluation,0.08754716981132075
eu_positive_list,svhc_identification,0.03585346843335931
harmonised_list,authorisation_list,0.010400734169470786
harmonised_list,authorisation_process,0.019768856447688565
harmonised_list,candidate_list,0.042745334136062615
harmonised_list,clh_process,0.1481375358166189
harmonised_list,dossier_evaluation,0.11152347374280942
harmonised_list,ed_assessment,0.019015997585270148
harmonised_list,eu_positive_list,0.07872655478775913
harmonised_list,harmonised_list,1
harmonised_list,pbt_assessment,0.011837821840781295
harmonised_list,pesticides,0.1581769436997319
harmonised_list,pops_list,0.003676470588235294
harmonised_list,pops_process,6.134969325153375e-4
harmonised_list,reach_registrations,0.13094954783436458
harmonised_list,restriction_list,0.007659313725490196
harmonised_list,restriction_process,0.003372164316370325
harmonised_list,sommatie_stoffen,0.003639672429481347
harmonised_list,substance_evaluation,0.040928882438316404
harmonised_list,svhc_identification,0.043243243243243246
pbt_assessment,authorisation_list,0.024875621890547265
pbt_assessment,authorisation_process,0.053497942386831275
pbt_assessment,candidate_list,0.08579881656804733
pbt_assessment,clh_process,0.03409090909090909
pbt_assessment,dossier_evaluation,0.042522522522522525
pbt_assessment,ed_assessment,0.08560311284046693
pbt_assessment,eu_positive_list,0.029079159935379646
pbt_assessment,harmonised_list,0.011837821840781295
pbt_assessment,pbt_assessment,1
pbt_assessment,pesticides,0.0049301561216105174
pbt_assessment,pops_list,0.011299435028248588
pbt_assessment,pops_process,0.018518518518518517
pbt_assessment,reach_registrations,0.009708737864077669
pbt_assessment,restriction_list,0
pbt_assessment,restriction_process,0.011494252873563218
pbt_assessment,sommatie_stoffen,0.004739336492890996
pbt_assessment,substance_evaluation,0.23173803526448364
pbt_assessment,svhc_identification,0.0927536231884058
pesticides,authorisation_list,9.041591320072332e-4
pesticides,authorisation_process,0.003469210754553339
pesticides,candidate_list,0.006349206349206349
pesticides,clh_process,0.21218206157965194
pesticides,dossier_evaluation,0.022365939099973052
pesticides,ed_assessment,0.022530329289428077
pesticides,eu_positive_list,0.031294452347083924
pesticides,harmonised_list,0.1581769436997319
pesticides,pbt_assessment,0.0049301561216105174
pesticides,pesticides,1
pesticides,pops_list,0.01028999064546305
pesticides,pops_process,0.0028222013170272815
pesticides,reach_registrations,0.018599297225251422
pesticides,restriction_list,9.157509157509158e-4
pesticides,restriction_process,9.293680297397769e-4
pesticides,sommatie_stoffen,0.0036068530207394047
pesticides,substance_evaluation,0.017569546120058566
pesticides,svhc_identification,0.0070921985815602835
pops_list,authorisation_list,0.016129032258064516
pops_list,authorisation_process,0.018018018018018018
pops_list,candidate_list,0.009009009009009009
pops_list,clh_process,0
pops_list,dossier_evaluation,0
pops_list,ed_assessment,0
pops_list,eu_positive_list,0
pops_list,harmonised_list,0.003676470588235294
pops_list,pbt_assessment,0.011299435028248588
pops_list,pesticides,0.01028999064546305
pops_list,pops_list,1
pops_list,pops_process,0.15789473684210525
pops_list,reach_registrations,1.268472125325046e-4
pops_list,restriction_list,0
pops_list,restriction_process,0.03125
pops_list,sommatie_stoffen,0
pops_list,substance_evaluation,0
pops_list,svhc_identification,0.008620689655172414
pops_process,authorisation_list,0.020833333333333332
pops_process,authorisation_process,0.01020408163265306
pops_process,candidate_list,0.004784688995215311
pops_process,clh_process,0
pops_process,dossier_evaluation,0
pops_process,ed_assessment,0
pops_process,eu_positive_list,0
pops_process,harmonised_list,6.134969325153375e-4
pops_process,pbt_assessment,0.018518518518518517
pops_process,pesticides,0.0028222013170272815
pops_process,pops_list,0.15789473684210525
pops_process,pops_process,1
pops_process,reach_registrations,1.2695994413762458e-4
pops_process,restriction_list,0
pops_process,restriction_process,0
pops_process,sommatie_stoffen,0
pops_process,substance_evaluation,0
pops_process,svhc_identification,0.0045662100456621
reach_registrations,authorisation_list,0.001902828872256755
reach_registrations,authorisation_process,0.005010464895033932
reach_registrations,candidate_list,0.010064565134827194
reach_registrations,clh_process,0.030091147459108503
reach_registrations,dossier_evaluation,0.17322584740383395
reach_registrations,ed_assessment,0.006596891849032668
reach_registrations,eu_positive_list,0.051568248425515995
reach_registrations,harmonised_list,0.13094954783436458
reach_registrations,pbt_assessment,0.009708737864077669
reach_registrations,pesticides,0.018599297225251422
reach_registrations,pops_list,1.268472125325046e-4
reach_registrations,pops_process,1.2695994413762458e-4
reach_registrations,reach_registrations,1
reach_registrations,restriction_list,0.0014594834697633098
reach_registrations,restriction_process,7.617113114129745e-4
reach_registrations,sommatie_stoffen,6.332320162107396e-4
reach_registrations,substance_evaluation,0.020824074661926227
reach_registrations,svhc_identification,0.010953526655692035
restriction_list,authorisation_list,0
restriction_list,authorisation_process,0.03278688524590164
restriction_list,candidate_list,0.021551724137931036
restriction_list,clh_process,0.011673151750972763
restriction_list,dossier_evaluation,0.003997093023255814
restriction_list,ed_assessment,0.013605442176870748
restriction_list,eu_positive_list,0.01060070671378092
restriction_list,harmonised_list,0.007659313725490196
restriction_list,pbt_assessment,0
restriction_list,pesticides,9.157509157509158e-4
restriction_list,pops_list,0
restriction_list,pops_process,0
restriction_list,reach_registrations,0.0014594834697633098
restriction_list,restriction_list,1
restriction_list,restriction_process,0.24324324324324326
restriction_list,sommatie_stoffen,0
restriction_list,substance_evaluation,0.011267605633802818
restriction_list,svhc_identification,0.029166666666666667
restriction_process,authorisation_list,0.01694915254237288
restriction_process,authorisation_process,0.057692307692307696
restriction_process,candidate_list,0.03271028037383177
restriction_process,clh_process,0.0079155672823219
restriction_process,dossier_evaluation,0.0029207740051113546
restriction_process,ed_assessment,0.007575757575757576
restriction_process,eu_positive_list,0.006244424620874219
restriction_process,harmonised_list,0.003372164316370325
restriction_process,pbt_assessment,0.011494252873563218
restriction_process,pesticides,9.293680297397769e-4
restriction_process,pops_list,0.03125
restriction_process,pops_process,0
restriction_process,reach_registrations,7.617113114129745e-4
restriction_process,restriction_list,0.24324324324324326
restriction_process,restriction_process,1
restriction_process,sommatie_stoffen,0
restriction_process,substance_evaluation,0.008823529411764706
restriction_process,svhc_identification,0.03125
sommatie_stoffen,authorisation_list,0
sommatie_stoffen,authorisation_process,0.02097902097902098
sommatie_stoffen,candidate_list,0.015810276679841896
sommatie_stoffen,clh_process,0.002506265664160401
sommatie_stoffen,dossier_evaluation,0.001079136690647482
sommatie_stoffen,ed_assessment,0
sommatie_stoffen,eu_positive_list,8.598452278589854e-4
sommatie_stoffen,harmonised_list,0.003639672429481347
sommatie_stoffen,pbt_assessment,0.004739336492890996
sommatie_stoffen,pesticides,0.0036068530207394047
sommatie_stoffen,pops_list,0
sommatie_stoffen,pops_process,0
sommatie_stoffen,reach_registrations,6.332320162107396e-4
sommatie_stoffen,restriction_list,0
sommatie_stoffen,restriction_process,0
sommatie_stoffen,sommatie_stoffen,1
sommatie_stoffen,substance_evaluation,0
sommatie_stoffen,svhc_identification,0.015209125475285171
substance_evaluation,authorisation_list,0.002688172043010753
substance_evaluation,authorisation_process,0.011961722488038277
substance_evaluation,candidate_list,0.04093567251461988
substance_evaluation,clh_process,0.09562563580874874
substance_evaluation,dossier_evaluation,0.10032362459546926
substance_evaluation,ed_assessment,0.18933333333333333
substance_evaluation,eu_positive_list,0.08754716981132075
substance_evaluation,harmonised_list,0.040928882438316404
substance_evaluation,pbt_assessment,0.23173803526448364
substance_evaluation,pesticides,0.017569546120058566
substance_evaluation,pops_list,0
substance_evaluation,pops_process,0
substance_evaluation,reach_registrations,0.020824074661926227
substance_evaluation,restriction_list,0.011267605633802818
substance_evaluation,restriction_process,0.008823529411764706
substance_evaluation,sommatie_stoffen,0
substance_evaluation,substance_evaluation,1
substance_evaluation,svhc_identification,0.05019305019305019
svhc_identification,authorisation_list,0.20276497695852536
svhc_identification,authorisation_process,0.43317972350230416
svhc_identification,candidate_list,0.9095022624434389
svhc_identification,clh_process,0.05579868708971553
svhc_identification,dossier_evaluation,0.026462395543175487
svhc_identification,ed_assessment,0.047021943573667714
svhc_identification,eu_positive_list,0.03585346843335931
svhc_identification,harmonised_list,0.043243243243243246
svhc_identification,pbt_assessment,0.0927536231884058
svhc_identification,pesticides,0.0070921985815602835
svhc_identification,pops_list,0.008620689655172414
svhc_identification,pops_process,0.0045662100456621
svhc_identification,reach_registrations,0.010953526655692035
svhc_identification,restriction_list,0.029166666666666667
svhc_identification,restriction_process,0.03125
svhc_identification,sommatie_stoffen,0.015209125475285171
svhc_identification,substance_evaluation,0.05019305019305019
svhc_identification,svhc_identification,1
